designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 5940953455666214016,5940953455666214016,250.28675793246066,-48.77847861797752,0.34045686829414573,0.5863509,0.5806367,-3.935043635153254,0.6300963,-5.376275756038418,0.4167438,195.63456684586887,0.75724787,19.958754,35.287071039023154,5.467658,21.469503,182.8822187546288,6.7853174,19.092466,2.377037
Gaia EDR3 5940953455666215680,5940953455666215680,250.28705528610024,-48.77723387167543,0.3904833997606546,0.5787474,0.6747044,-2.8460943974991206,0.6432772,-2.3661260095957197,0.43365538,198.77746552864772,0.7762971,19.941448,37.5493627591678,8.077199,21.402037,204.85920540549708,9.174477,18.969257,2.4327793
Gaia EDR3 5940953455667004288,5940953455667004288,250.2842841649927,-48.76912191175962,1.706796043262193,1.0350101,1.6490622,-4.6990346719384295,1.1780665,-5.230115343353372,0.6818063,119.20759593206137,0.77340287,20.496607,15.22572882346647,5.4119697,22.382097,171.79139619037682,19.284039,19.160393,3.2217045
Gaia EDR3 5940953455667008896,5940953455667008896,250.2949268124935,-48.78366311876945,0.2794017712387136,0.98513436,0.28361794,-3.222500786857298,1.180137,-4.742795618862529,0.83239824,143.89748213019664,1.3510069,20.292234,143.3783526914588,22.630129,19.947332,253.66517691240412,12.803606,18.737244,1.2100887
Gaia EDR3 5940953455667284992,5940953455667284992,250.2924203196132,-48.77271950769999,1.8273311775673338,1.0476087,1.7442878,-4.544140607769886,1.0260549,-5.581365877143606,0.72566795,135.2408998380923,0.762586,20.359596,,,,148.88445630013004,25.96054,19.315773,
Gaia EDR3 5940953455667287040,5940953455667287040,250.29596960508366,-48.774448027659176,0.9197211433445809,0.8018283,1.14703,-2.351061581646352,0.8624319,-3.5528251764632666,0.5887428,140.8505547797349,0.7788295,20.31547,34.10214053216886,5.3602138,21.506588,160.06497803232446,11.539885,19.237154,2.269434
Gaia EDR3 5940953455705470720,5940953455705470720,250.29589037412222,-48.78714435743395,0.8781327743356522,0.024702387,35.548496,0.6647493813529867,0.028572148,-4.333984932239186,0.018797465,33944.602319134516,51.711655,14.36044,11419.140503494924,63.442474,15.194459,33129.936452694055,131.15698,13.447344,1.7471151
Gaia EDR3 5940953455705473792,5940953455705473792,250.29338387255183,-48.78361516313634,0.6654893878020839,0.12069971,5.5135956,-2.914529421885394,0.15684052,-1.6507256311053704,0.09968075,2495.048327758212,2.267914,17.19467,816.1884640395057,15.017587,18.059067,2657.390302245988,10.787009,16.186758,1.8723087
Gaia EDR3 5940953455705473920,5940953455705473920,250.2961400144305,-48.782168935946885,0.8195076759674464,0.02085853,39.28885,1.0958777689740251,0.023797499,-3.8379149988208674,0.015800476,365469.3274573099,117.9791,11.780239,195183.14047461195,129.83987,12.112436,251241.54989394176,90.04467,11.247667,0.864769
Gaia EDR3 5940953455705474432,5940953455705474432,250.29886130462052,-48.780422498654865,0.1702624805329882,0.23103327,0.7369609,-1.719278267162696,0.3082713,-2.1758968402081087,0.1943212,1013.3529602498422,2.1257048,18.172964,380.1828569215068,25.281675,18.888561,1547.9610559528098,35.698086,16.773495,2.1150665
Gaia EDR3 5940953455705477760,5940953455705477760,250.29224463756864,-48.781206581087176,0.1281232219097266,0.07406025,1.7299865,-5.925302764034273,0.0961908,-3.133610228320192,0.06265896,4602.830085177611,4.6504245,16.529804,556.1727814467337,11.16834,18.475517,6926.730335451904,32.12984,15.146575,3.3289423
Gaia EDR3 5940953455705478272,5940953455705478272,250.28969908564787,-48.78235008089259,0.44216956932416485,0.021838238,20.247492,-0.1085913385736938,0.025279198,-1.693147835347704,0.01665346,45871.17146386218,7.830017,14.033517,17548.89480093812,23.168747,14.727918,41790.45689174616,25.69725,13.195203,1.5327148
Gaia EDR3 5940953455705479296,5940953455705479296,250.2958984848118,-48.77841344380553,0.23915650805887106,0.5022351,0.47618434,0.3857892391140678,0.8481872,-3.9479933214249616,0.48040333,293.822874203197,1.0238624,19.517153,91.87002825111392,10.989747,20.430607,296.66875403673595,9.797538,18.567217,1.86339
Gaia EDR3 5940953455705479808,5940953455705479808,250.29402452849604,-48.77861321952769,0.5048241995672185,0.17498903,2.8848908,1.52114122840094,0.2974075,-0.3945363741015373,0.1684021,1064.0309552491726,1.2523446,18.119982,327.0344467861391,10.463448,19.05206,1096.4978865322198,10.095444,17.147877,1.9041824
Gaia EDR3 5940953455705480192,5940953455705480192,250.29847577312836,-48.77591083403138,1.1226847171296837,0.18450397,6.084881,0.7324681661803301,0.25643018,-4.140598195989961,0.16734193,935.0272774936986,2.8748472,18.260305,213.92972212117604,8.878915,19.512865,1161.0171772902718,13.5081835,17.085798,2.4270668
Gaia EDR3 5940953455705481728,5940953455705481728,250.29668307319545,-48.775556843062354,0.34279666759793553,0.04324914,7.9260917,-1.0334208213682687,0.050403852,-2.831577269800454,0.033131756,9675.52730274595,4.0629134,15.72318,1204.019929359803,8.572429,17.636957,13416.234751882654,13.228813,14.428819,3.2081385
Gaia EDR3 5940953455705485824,5940953455705485824,250.2914391090166,-48.775618935128364,0.3723255648999583,0.028844647,12.907961,-2.7610269052679097,0.032624155,-2.7278313416257474,0.02207113,24056.782455393582,7.5248,14.734273,4561.786170720889,11.140233,16.190704,29751.15921074704,18.369549,13.564136,2.6265688
Gaia EDR3 5940953455705487232,5940953455705487232,250.29509671120306,-48.77249491405402,0.30362553538929604,0.2769594,1.0962818,-2.88793474213453,0.32001296,-4.435313754694064,0.21458775,451.1604003529946,0.943586,19.05154,48.11261000449343,7.62294,21.132895,661.6202714446804,8.246196,17.696373,3.4365215
Gaia EDR3 5940953455705488512,5940953455705488512,250.28828135230611,-48.77539031642939,0.3560029316870132,0.0307153,11.59041,-1.1208634122728351,0.035145637,-3.355758786649755,0.024056397,17956.721104422617,5.1649985,15.051799,3991.0201311787346,11.667674,16.335833,21051.37216330157,14.501719,13.939694,2.3961382
Gaia EDR3 5940953455705490176,5940953455705490176,250.28071150689027,-48.77772104003138,1.0097738342536307,0.15080103,6.6960673,1.1455232204352508,0.1827996,-3.6636477523052453,0.12619703,1003.4046567384582,1.1928682,18.183676,291.04681990899485,7.0615234,19.178635,1071.548895660692,8.331331,17.172865,2.0057697
Gaia EDR3 5940953455705491328,5940953455705491328,250.2901382638493,-48.77171343460271,0.01786110534594753,0.14216371,0.12563759,-4.6009965591128665,0.17494924,-5.50367847758587,0.11561251,1759.9903408624964,1.8379908,17.573591,54.823456721348215,6.84388,20.991127,3017.208671632919,8.563868,16.048882,4.9422455
